feature,importance
index_mom_20,0.059442060069145694
index_mom_5,0.059034568205220156
beta,0.052036820024546994
atr_pct,0.05044433259545018
dist_sma50,0.05019175953628448
adx,0.039548926791033306
bb_squeeze,0.03532989865904391
mom_20,0.03457132989230381
liquidity_score,0.03323743683395018
macd_hist,0.03309778517981895
rsi,0.031155332338155078
vol_percentile,0.02810609840039772
smart_money,0.027661201973783245
price_vs_vwap,0.0276606230013086
price_compression,0.02754040662401949
relative_strength,0.026234749913049246
mom_5,0.026171133736694305
mom_10,0.02497851739045031
mom_accel,0.023076198889033894
vol_ratio,0.022575768603931824
vol_trend,0.02034117600640098
dist_sma20,0.0199789321340271
mom_vol_confirm,0.019922865182887467
range_position,0.019676054057550147
bb_pct,0.01826986219373461
vol_spike,0.017125439915484802
upper_shadow_ratio,0.015321052903831279
body_ratio,0.013305613579015278
lower_shadow_ratio,0.013057068071015891
buying_pressure,0.012557597241321484
above_ema20_streak,0.012044485425792492
up_days_10,0.00946321637705759
vol_regime,0.008590791216070174
ad_momentum,0.008530259078088544
hh_count_5,0.008177954935525165
ll_count_5,0.008026053790075325
consec_down,0.0054994774851189
up_days_5,0.005481463305611702
index_above_ema20,0.005193687139735206
consec_up,0.0051532397200825
adx_strong,0.00511794770257064
ema_aligned_bear,0.0036114018338777075
bull_market,0.0034876320895092534
outperforming,0.0030354721069440318
gap_down,0.002316236387721234
bear_market,0.0022724653898848184
ema_aligned_bull,0.002129572189897066
obv_trend,0.002024733950006269
downtrend_structure,0.0020247019563650664
near_high,0.002009630624362681
bullish_candle,0.0019716754023852705
pv_divergence,0.0018508602123818644
macd_positive,0.0018182944860113412
above_ema20,0.0015437559376084574
uptrend_structure,0.0015022578955443168
near_low,0.0013211589806573618
rsi_overbought,0.0011678226016493003
inside_bar,0.0010672921532780954
rsi_oversold,0.0008498893325541426
gap_up,0.0007705637531394458
macd_cross_up,0.00029539659760346483
